1.000000000000000e-02	1.000000e-02	-4.999789e-03
1.071773462536293e-02	1.071773e-02	-4.626741e-03
1.148698354997035e-02	1.148698e-02	-4.223825e-03
1.231144413344916e-02	1.231144e-02	-3.788430e-03
1.319507910772894e-02	1.319508e-02	-3.317685e-03
1.414213562373095e-02	1.414214e-02	-2.808433e-03
1.515716566510398e-02	1.515717e-02	-2.257200e-03
1.624504792712471e-02	1.624505e-02	-1.660151e-03
1.741101126592248e-02	1.741101e-02	-1.013056e-03
1.866065983073614e-02	1.866066e-02	-3.112420e-04
1.999999999999999e-02	2.000000e-02	4.504618e-04
2.143546925072586e-02	2.143547e-02	1.277778e-03
2.297396709994069e-02	2.297397e-02	2.177049e-03
2.462288826689831e-02	2.462289e-02	3.155309e-03
2.639015821545787e-02	2.639016e-02	4.220360e-03
2.828427124746189e-02	2.828427e-02	5.380872e-03
3.031433133020795e-02	3.031433e-02	6.646469e-03
3.249009585424940e-02	3.249010e-02	8.027851e-03
3.482202253184495e-02	3.482202e-02	9.536901e-03
3.732131966147228e-02	3.732132e-02	1.118683e-02
3.999999999999997e-02	4.000000e-02	1.299229e-02
4.287093850145170e-02	4.287094e-02	1.496957e-02
4.594793419988137e-02	4.594794e-02	1.713670e-02
4.924577653379662e-02	4.924577e-02	1.951367e-02
5.278031643091573e-02	5.278032e-02	2.212257e-02
5.656854249492376e-02	5.656854e-02	2.498775e-02
6.062866266041587e-02	6.062866e-02	2.813605e-02
6.498019170849878e-02	6.498019e-02	3.159691e-02
6.964404506368987e-02	6.964404e-02	3.540257e-02
7.464263932294453e-02	7.464264e-02	3.958818e-02
7.999999999999993e-02	8.000000e-02	4.419191e-02
8.574187700290338e-02	8.574188e-02	4.925506e-02
9.189586839976270e-02	9.189587e-02	5.482207e-02
9.849155306759320e-02	9.849155e-02	6.094048e-02
1.055606328618314e-01	1.055606e-01	6.766085e-02
1.131370849898475e-01	1.131371e-01	7.503649e-02
1.212573253208317e-01	1.212573e-01	8.312312e-02
1.299603834169975e-01	1.299604e-01	9.197826e-02
1.392880901273797e-01	1.392881e-01	1.016604e-01
1.492852786458890e-01	1.492853e-01	1.122277e-01
1.599999999999998e-01	1.600000e-01	1.237360e-01
1.714837540058067e-01	1.714838e-01	1.362361e-01
1.837917367995254e-01	1.837917e-01	1.497699e-01
1.969831061351863e-01	1.969831e-01	1.643633e-01
2.111212657236628e-01	2.111213e-01	1.800177e-01
2.262741699796949e-01	2.262742e-01	1.966938e-01
2.425146506416634e-01	2.425147e-01	2.142886e-01
2.599207668339950e-01	2.599208e-01	2.325963e-01
2.785761802547593e-01	2.785762e-01	2.512471e-01
2.985705572917779e-01	2.985705e-01	2.696145e-01
3.199999999999995e-01	3.200000e-01	2.867056e-01
3.429675080116133e-01	3.429675e-01	3.011489e-01
3.675834735990506e-01	3.675835e-01	3.116035e-01
3.939662122703725e-01	3.939662e-01	3.177323e-01
4.222425314473255e-01	4.222425e-01	3.206260e-01
4.525483399593897e-01	4.525483e-01	3.218035e-01
4.850293012833266e-01	4.850293e-01	3.222758e-01
5.198415336679899e-01	5.198416e-01	3.225065e-01
5.571523605095184e-01	5.571523e-01	3.226683e-01
5.971411145835556e-01	5.971411e-01	3.228180e-01
6.399999999999988e-01	6.400000e-01	3.229725e-01
6.859350160232264e-01	6.859350e-01	3.231367e-01
7.351669471981009e-01	7.351670e-01	3.233123e-01
7.879324245407449e-01	7.879324e-01	3.235006e-01
8.444850628946508e-01	8.444850e-01	3.237023e-01
9.050966799187791e-01	9.050967e-01	3.239186e-01
9.700586025666529e-01	9.700586e-01	3.241503e-01
1.039683067335979e+00	1.039683e+00	3.243987e-01
1.114304721019037e+00	1.114305e+00	3.246649e-01
1.194282229167111e+00	1.194282e+00	3.249502e-01
1.279999999999997e+00	1.280000e+00	3.252560e-01
1.371870032046452e+00	1.371870e+00	3.255837e-01
1.470333894396201e+00	1.470334e+00	3.259349e-01
1.575864849081489e+00	1.575865e+00	3.263114e-01
1.688970125789301e+00	1.688970e+00	3.267149e-01
1.810193359837557e+00	1.810193e+00	3.271473e-01
1.940117205133305e+00	1.940117e+00	3.276108e-01
2.079366134671958e+00	2.079366e+00	3.281076e-01
2.228609442038072e+00	2.228609e+00	3.286400e-01
2.388564458334221e+00	2.388564e+00	3.292106e-01
2.559999999999994e+00	2.560000e+00	3.298222e-01
2.743740064092904e+00	2.743740e+00	3.304777e-01
2.940667788792402e+00	2.940668e+00	3.311802e-01
3.151729698162977e+00	3.151730e+00	3.319331e-01
3.377940251578601e+00	3.377940e+00	3.327401e-01
3.620386719675114e+00	3.620387e+00	3.336050e-01
3.880234410266609e+00	3.880234e+00	3.345319e-01
4.158732269343915e+00	4.158732e+00	3.355254e-01
4.457218884076144e+00	4.457219e+00	3.365902e-01
4.777128916668441e+00	4.777129e+00	3.377315e-01
5.000000000000000e+00	5.000000e+00	3.385265e-01
